cell_id,cluster_id,PTPRC,CD3D,CD19,COL1A1,VIM,EPCAM,KRT8,MKI67,TP53,PECAM1
cell_001,cluster_1,7.84,8.82,0.49,0.196,2.94,0.098,0.098,1.47,4.9,0.294
cell_002,cluster_1,8.48,9.54,0.53,0.212,3.18,0.106,0.106,1.59,5.3,0.318
cell_003,cluster_1,7.36,8.28,0.46,0.184,2.76,0.092,0.092,1.38,4.6,0.276
cell_004,cluster_1,8.0,9.0,0.5,0.2,3.0,0.1,0.1,1.5,5.0,0.3
cell_005,cluster_1,8.64,9.72,0.54,0.216,3.24,0.108,0.108,1.62,5.4,0.324
cell_006,cluster_1,7.52,8.46,0.47,0.188,2.82,0.094,0.094,1.41,4.7,0.282
cell_007,cluster_1,8.16,9.18,0.51,0.204,3.06,0.102,0.102,1.53,5.1,0.306
cell_008,cluster_1,8.8,9.9,0.55,0.22,3.3,0.11,0.11,1.65,5.5,0.33
cell_009,cluster_1,7.68,8.64,0.48,0.192,2.88,0.096,0.096,1.44,4.8,0.288
cell_010,cluster_1,8.32,9.36,0.52,0.208,3.12,0.104,0.104,1.56,5.2,0.312
cell_011,cluster_1,7.2,8.1,0.45,0.18,2.7,0.09,0.09,1.35,4.5,0.27
cell_012,cluster_1,7.84,8.82,0.49,0.196,2.94,0.098,0.098,1.47,4.9,0.294
cell_013,cluster_1,8.48,9.54,0.53,0.212,3.18,0.106,0.106,1.59,5.3,0.318
cell_014,cluster_1,7.36,8.28,0.46,0.184,2.76,0.092,0.092,1.38,4.6,0.276
cell_015,cluster_1,8.0,9.0,0.5,0.2,3.0,0.1,0.1,1.5,5.0,0.3
cell_016,cluster_2,8.64,0.324,9.72,0.216,2.16,0.108,0.108,1.296,5.4,0.216
cell_017,cluster_2,7.52,0.282,8.46,0.188,1.88,0.094,0.094,1.128,4.7,0.188
cell_018,cluster_2,8.16,0.306,9.18,0.204,2.04,0.102,0.102,1.224,5.1,0.204
cell_019,cluster_2,8.8,0.33,9.9,0.22,2.2,0.11,0.11,1.32,5.5,0.22
cell_020,cluster_2,7.68,0.288,8.64,0.192,1.92,0.096,0.096,1.152,4.8,0.192
cell_021,cluster_2,8.32,0.312,9.36,0.208,2.08,0.104,0.104,1.248,5.2,0.208
cell_022,cluster_2,7.2,0.27,8.1,0.18,1.8,0.09,0.09,1.08,4.5,0.18
cell_023,cluster_2,7.84,0.294,8.82,0.196,1.96,0.098,0.098,1.176,4.9,0.196
cell_024,cluster_2,8.48,0.318,9.54,0.212,2.12,0.106,0.106,1.272,5.3,0.212
cell_025,cluster_2,7.36,0.276,8.28,0.184,1.84,0.092,0.092,1.104,4.6,0.184
cell_026,cluster_2,8.0,0.3,9.0,0.2,2.0,0.1,0.1,1.2,5.0,0.2
cell_027,cluster_2,8.64,0.324,9.72,0.216,2.16,0.108,0.108,1.296,5.4,0.216
cell_028,cluster_2,7.52,0.282,8.46,0.188,1.88,0.094,0.094,1.128,4.7,0.188
cell_029,cluster_2,8.16,0.306,9.18,0.204,2.04,0.102,0.102,1.224,5.1,0.204
cell_030,cluster_2,8.8,0.33,9.9,0.22,2.2,0.11,0.11,1.32,5.5,0.22
cell_031,cluster_3,0.192,0.096,0.096,8.64,7.68,0.192,0.288,0.96,5.28,0.48
cell_032,cluster_3,0.208,0.104,0.104,9.36,8.32,0.208,0.312,1.04,5.72,0.52
cell_033,cluster_3,0.18,0.09,0.09,8.1,7.2,0.18,0.27,0.9,4.95,0.45
cell_034,cluster_3,0.196,0.098,0.098,8.82,7.84,0.196,0.294,0.98,5.39,0.49
cell_035,cluster_3,0.212,0.106,0.106,9.54,8.48,0.212,0.318,1.06,5.83,0.53
cell_036,cluster_3,0.184,0.092,0.092,8.28,7.36,0.184,0.276,0.92,5.06,0.46
cell_037,cluster_3,0.2,0.1,0.1,9.0,8.0,0.2,0.3,1.0,5.5,0.5
cell_038,cluster_3,0.216,0.108,0.108,9.72,8.64,0.216,0.324,1.08,5.94,0.54
cell_039,cluster_3,0.188,0.094,0.094,8.46,7.52,0.188,0.282,0.94,5.17,0.47
cell_040,cluster_3,0.204,0.102,0.102,9.18,8.16,0.204,0.306,1.02,5.61,0.51
cell_041,cluster_3,0.22,0.11,0.11,9.9,8.8,0.22,0.33,1.1,6.05,0.55
cell_042,cluster_3,0.192,0.096,0.096,8.64,7.68,0.192,0.288,0.96,5.28,0.48
cell_043,cluster_3,0.208,0.104,0.104,9.36,8.32,0.208,0.312,1.04,5.72,0.52
cell_044,cluster_3,0.18,0.09,0.09,8.1,7.2,0.18,0.27,0.9,4.95,0.45
cell_045,cluster_3,0.196,0.098,0.098,8.82,7.84,0.196,0.294,0.98,5.39,0.49
cell_046,cluster_4,0.318,0.106,0.106,0.53,4.24,9.01,9.328,7.95,1.272,0.212
cell_047,cluster_4,0.276,0.092,0.092,0.46,3.68,7.82,8.096,6.9,1.104,0.184
cell_048,cluster_4,0.3,0.1,0.1,0.5,4.0,8.5,8.8,7.5,1.2,0.2
cell_049,cluster_4,0.324,0.108,0.108,0.54,4.32,9.18,9.504,8.1,1.296,0.216
cell_050,cluster_4,0.282,0.094,0.094,0.47,3.76,7.99,8.272,7.05,1.128,0.188
cell_051,cluster_4,0.306,0.102,0.102,0.51,4.08,8.67,8.976,7.65,1.224,0.204
cell_052,cluster_4,0.33,0.11,0.11,0.55,4.4,9.35,9.68,8.25,1.32,0.22
cell_053,cluster_4,0.288,0.096,0.096,0.48,3.84,8.16,8.448,7.2,1.152,0.192
cell_054,cluster_4,0.312,0.104,0.104,0.52,4.16,8.84,9.152,7.8,1.248,0.208
cell_055,cluster_4,0.27,0.09,0.09,0.45,3.6,7.65,7.92,6.75,1.08,0.18
cell_056,cluster_4,0.294,0.098,0.098,0.49,3.92,8.33,8.624,7.35,1.176,0.196
cell_057,cluster_4,0.318,0.106,0.106,0.53,4.24,9.01,9.328,7.95,1.272,0.212
cell_058,cluster_4,0.276,0.092,0.092,0.46,3.68,7.82,8.096,6.9,1.104,0.184
cell_059,cluster_4,0.3,0.1,0.1,0.5,4.0,8.5,8.8,7.5,1.2,0.2
cell_060,cluster_4,0.324,0.108,0.108,0.54,4.32,9.18,9.504,8.1,1.296,0.216
